@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute inputs-11 numeric
@attribute inputs-12 numeric
@attribute inputs-13 numeric
@attribute inputs-14 numeric
@attribute inputs-15 numeric
@attribute inputs-16 numeric
@attribute inputs-17 numeric
@attribute inputs-18 numeric
@attribute inputs-19 numeric
@attribute inputs-20 numeric
@attribute inputs-21 numeric
@attribute inputs-22 numeric
@attribute inputs-23 numeric
@attribute inputs-24 numeric
@attribute inputs-25 numeric
@attribute inputs-26 numeric
@attribute inputs-27 numeric
@attribute inputs-28 numeric
@attribute inputs-29 numeric
@attribute inputs-30 numeric
@attribute inputs-31 numeric
@attribute inputs-32 numeric
@attribute inputs-33 numeric
@attribute inputs-34 numeric
@attribute inputs-35 numeric
@attribute inputs-36 numeric
@attribute inputs-37 numeric
@attribute inputs-38 numeric
@attribute inputs-39 numeric
@attribute inputs-40 numeric
@attribute inputs-41 numeric
@attribute inputs-42 numeric
@attribute inputs-43 numeric
@attribute left_hit {0,1,2}
@attribute left_type {0,1,2,3}
@attribute left_pos numeric
@attribute right_hit {0,1,2}
@attribute right_type {0,1,2,3}
@attribute right_pos numeric
@attribute kick {0,1,2}

@data
26,'2019/04/12 13:33:03:899',7,17242943488,30121515008,31293054976,23518263296,20744513536,26615955456,10185560064,29188935680,31382904832,27608727552,10816841728,28559843328,15337922560,9579809792,8062384640,15754492928,15199550464,16203811840,11116158976,3344667136,15408404480,17900355584,6990008320,1347085696,13664427008,9237705728,9020192768,5508174848,32091561984,29050611712,10298521600,4627391488,32212252672,32212252672,15623655424,10899778560,32212252672,32212252672,8881270784,8587092480,0,0,0,?,1,0,?,?,?,?
27,'2019/04/12 13:33:04:151',7,17317591040,30120574976,31289020416,19098765312,20722298880,26691158016,8735033344,28543582208,30911635456,27461971968,10820965376,29675696128,15500891136,9731425280,11607127040,28808355840,15333742592,16316710912,11154662400,10519394304,15333669888,17590958080,6989900800,1504418176,13975131136,9328852992,9112852480,5404089856,32109383680,29104496640,10276028416,4481911808,32212252672,32212252672,15629531136,10902887424,32212252672,32212252672,8938932224,8607347712,0,0,0,?,1,0,?,?,?,?
28,'2019/04/12 13:33:04:400',7,17653258240,29916108800,28597426176,20930244608,22045710336,26602211328,3630219776,3802368256,31959173120,27696351232,4907971072,3368845312,14553628672,9027083264,7673830912,3805755136,16090717184,16853929984,11241698304,3129834752,14146469888,16789329920,9718483968,24756963328,15675742208,10040478720,12685760512,32050733056,32168613888,29828622336,13435052032,31679416320,32212252672,32212252672,16274040832,17923223552,32212252672,32212252672,8988199936,8702795776,0,0,0,?,1,0,?,?,?,?
29,'2019/04/12 13:33:04:709',7,18111963136,29998977024,27810621440,20603957248,23146387456,26882115584,3573394176,3710341632,32043274240,27724726272,4956391936,2917415168,14744920064,9129038848,7663206912,3683475456,16210365440,17489174528,10700991488,2989531904,13786327040,16367837184,6391807488,1420069760,16563655680,10299279360,9670137856,5778587136,32197160960,30452174848,10045379584,3122687744,32212252672,32212252672,15786707968,9279158272,32212252672,31872727040,21133973504,13527932928,0,0,0,?,1,0,?,?,?,?
30,'2019/04/12 13:33:04:912',7,17971359744,30162806784,29007245312,20784527360,22273961984,26782810112,3466682880,3532845312,32064403456,27663833088,4892511744,2544269824,15275837440,9576989696,7411201024,3089269760,15767364608,17110251520,10450878464,2547273472,14061343744,16230451200,6013903360,1075680896,16302675968,10228179968,9679235072,4964268032,32196581376,30719238144,8601768960,1719576448,32212252672,32212252672,15166090240,4124919296,32212252672,31402336256,14869861376,7442038784,0,0,0,?,1,0,?,?,?,?
31,'2019/04/12 13:33:05:147',7,18192730112,30289108992,29079496704,20800991232,22492786688,26888204288,3330242304,3405202688,32058728448,27518746624,4768334336,1992717184,16647716864,9279119360,8075702272,3050683392,15033610240,14986285056,11673172992,2225803264,26118932480,21609521152,6667688960,939175232,31643795456,8747715584,9590605824,3145341696,29208848384,16548328448,8472560128,351533536,32212193280,28115099648,21647613952,3470911232,32212252672,32212252672,8676728832,10932018176,0,0,0,?,1,0,?,?,?,?
32,'2019/04/12 13:33:05:411',7,14154706944,25913884672,24829835264,17630910464,17359831040,21084936192,1358174976,1201579648,24311222272,18526445568,2649405440,528774848,7519693824,4227756288,6548462592,1908762368,21801680896,17001023488,8244078080,660708672,29137879040,12093396992,2463996928,455665408,27586846720,14592259072,8019651584,1033267712,30678697984,29628340224,17268537344,804352320,30859022336,32020070400,12453545984,5927406592,31633356800,32204255232,6481186304,6253015040,0,0,0,?,1,0,?,?,?,?
33,'2019/04/12 13:33:05:661',7,12732267520,23805335552,27417630720,17983612928,15224852480,20096792576,1198426496,1370824064,12852388864,7786462208,3042885888,560239040,7698025472,6124816384,4339311104,1613094272,26642642944,18578620416,5163313152,235110304,27354298368,5022175232,3835819008,862363520,28639485952,14884130816,6982718464,302502368,28222488576,29523406848,17233152000,947065728,27966515200,29478264832,10840284160,5748126720,28854026240,30492377088,5448415232,4981965824,0,0,0,?,1,0,?,?,?,?
34,'2019/04/12 13:33:05:897',7,12456038400,23600568320,28700958720,17307418624,14813209600,20232577024,1451056000,1429075712,9621229568,5683621888,3582029824,1093584256,11670567936,10285113344,4815164416,2055851392,8227653632,15019168768,4160650752,342912672,14482666496,7315258880,6053405696,2554121472,25477183488,25989552128,2663312896,409705856,26602461184,27949205504,6882899968,2030053120,27370309632,29055160320,24349106176,19907565568,28238049280,30702708736,32084701184,15511536640,0,0,0,?,1,0,?,?,?,?
35,'2019/04/12 13:33:06:147',7,12893105152,24095924224,28737347584,17714184192,15203448832,19322619904,1277342976,2040292864,10770292736,6343109632,4337292288,2149972224,14061041664,17162671104,6533246976,1477632896,5394540032,8967795712,2980872192,612540928,21683970048,15435197440,7382915584,3348660992,26110656512,27444754432,3578239744,794754368,27245789184,28605548544,8417310720,3846395392,28025061376,29500669952,10506217472,6401956352,28847316992,30488856576,5340653056,4933639680,0,0,0,?,1,0,?,?,?,?
