@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute drum-1 numeric
@attribute outputs-1 {0,1,2}

@data
257,'2019/04/03 15:53:46:084',2,0,1
258,'2019/04/03 15:53:46:168',2,0,1
259,'2019/04/03 15:53:46:245',2,0,1
260,'2019/04/03 15:53:46:329',2,0,1
261,'2019/04/03 15:53:46:413',2,0,1
262,'2019/04/03 15:53:46:497',2,0,1
263,'2019/04/03 15:53:46:575',2,0,1
264,'2019/04/03 15:53:46:659',2,0,1
265,'2019/04/03 15:53:46:738',2,0,1
266,'2019/04/03 15:53:46:815',2,0,1
267,'2019/04/03 15:53:46:893',2,0,1
268,'2019/04/03 15:53:46:978',2,0,1
269,'2019/04/03 15:53:47:062',2,0,1
270,'2019/04/03 15:53:47:139',2,0,1
271,'2019/04/03 15:53:47:223',2,0,1
272,'2019/04/03 15:53:47:307',2,0,1
273,'2019/04/03 15:53:47:391',2,0,1
274,'2019/04/03 15:53:47:469',2,0,1
275,'2019/04/03 15:53:47:553',2,0,1
276,'2019/04/03 15:53:47:638',2,0,1
277,'2019/04/03 15:53:47:721',2,0,1
278,'2019/04/03 15:53:47:799',2,0,1
279,'2019/04/03 15:53:47:883',2,0,1
280,'2019/04/03 15:53:47:968',2,0,1
